;part_id;test_id;Serie_id;trial_id;training;modif;position;forme;salience;error_rate;expert
96;9;xp_loc;4;96;1;localglobal;3;ascendante;congruente;0;0
97;9;xp_loc;4;97;1;localglobal;1;ascendante;incongruente;0;0
2;9;xp_loc;3;2;1;nul;3;descendante;nul;0;0
3;9;xp_loc;3;3;1;localglobal;1;descendante;incongruente;0;0
4;9;xp_loc;3;4;1;localglobal;1;descendante;incongruente;0;0
5;9;xp_loc;3;5;1;localglobal;1;ascendante;nul;0;0
6;9;xp_loc;3;6;1;local;3;ascendante;nul;0;0
7;9;xp_loc;3;7;1;localglobal;3;descendante;incongruente;0;0
8;9;xp_loc;3;8;1;nul;3;ascendante;incongruente;0;0
9;9;xp_loc;3;9;1;local;3;descendante;incongruente;0;0
10;9;xp_loc;3;10;1;global;3;descendante;incongruente;0;0
11;9;xp_loc;3;11;1;nul;1;ascendante;congruente;0;0
12;9;xp_loc;3;12;1;global;1;descendante;incongruente;0;0
13;9;xp_loc;3;13;1;global;3;ascendante;incongruente;0;0
14;9;xp_loc;3;14;1;nul;3;ascendante;congruente;0;0
15;9;xp_loc;3;15;1;nul;1;descendante;incongruente;0;0
16;9;xp_loc;3;16;1;global;1;descendante;incongruente;0;0
17;9;xp_loc;3;17;1;localglobal;3;ascendante;incongruente;0;0
18;9;xp_loc;3;18;1;localglobal;1;descendante;congruente;0;0
19;9;xp_loc;3;19;1;localglobal;3;ascendante;congruente;0;0
20;9;xp_loc;3;20;1;global;3;ascendante;incongruente;0;0
21;9;xp_loc;3;21;1;global;1;ascendante;incongruente;0;0
22;9;xp_loc;3;22;1;localglobal;1;descendante;nul;0;0
23;9;xp_loc;3;23;1;global;1;descendante;nul;0;0
24;9;xp_loc;3;24;1;global;3;ascendante;congruente;0;0
25;9;xp_loc;3;25;1;local;1;ascendante;incongruente;0;0
26;9;xp_loc;3;26;1;local;3;descendante;congruente;0;0
27;9;xp_loc;3;27;1;localglobal;1;ascendante;incongruente;0;0
28;9;xp_loc;3;28;1;nul;3;ascendante;nul;0;0
29;9;xp_loc;3;29;1;local;3;descendante;congruente;0;0
30;9;xp_loc;3;30;1;nul;3;ascendante;congruente;0;0
31;9;xp_loc;3;31;1;local;1;ascendante;nul;0;0
32;9;xp_loc;3;32;1;nul;1;descendante;incongruente;0;0
33;9;xp_loc;3;33;1;localglobal;1;ascendante;nul;0;0
34;9;xp_loc;3;34;1;global;3;descendante;incongruente;0;0
35;9;xp_loc;3;35;1;local;1;descendante;incongruente;0;0
36;9;xp_loc;3;36;1;nul;3;descendante;incongruente;0;0
37;9;xp_loc;3;37;1;localglobal;3;ascendante;incongruente;0;0
38;9;xp_loc;3;38;1;localglobal;3;descendante;nul;0;0
39;9;xp_loc;3;39;1;localglobal;3;descendante;congruente;0;0
40;9;xp_loc;3;40;1;nul;3;descendante;congruente;0;0
41;9;xp_loc;3;41;1;local;3;ascendante;congruente;0;0
42;9;xp_loc;3;42;1;global;1;ascendante;congruente;0;0
43;9;xp_loc;3;43;1;nul;3;descendante;nul;0;0
44;9;xp_loc;3;44;1;nul;1;descendante;congruente;0;0
45;9;xp_loc;3;45;1;localglobal;3;ascendante;nul;0;0
46;9;xp_loc;3;46;1;localglobal;3;descendante;congruente;0;0
47;9;xp_loc;3;47;1;local;3;ascendante;nul;0;0
48;9;xp_loc;3;48;1;global;1;descendante;nul;0;0
49;9;xp_loc;3;49;1;localglobal;3;descendante;incongruente;0;0
50;9;xp_loc;3;50;1;local;3;descendante;nul;0;0
51;9;xp_loc;3;51;1;localglobal;3;ascendante;congruente;0;0
52;9;xp_loc;3;52;1;local;3;ascendante;incongruente;0;0
53;9;xp_loc;3;53;1;nul;1;descendante;nul;0;0
54;9;xp_loc;3;54;1;global;3;ascendante;congruente;0;0
55;9;xp_loc;3;55;1;local;1;descendante;nul;0;0
56;9;xp_loc;3;56;1;local;1;descendante;congruente;0;0
57;9;xp_loc;3;57;1;local;1;descendante;nul;0;0
58;9;xp_loc;3;58;1;global;1;descendante;congruente;0;0
59;9;xp_loc;3;59;1;global;1;ascendante;nul;0;0
60;9;xp_loc;3;60;1;local;3;ascendante;incongruente;0;0
61;9;xp_loc;3;61;1;local;3;descendante;nul;0;0
62;9;xp_loc;3;62;1;nul;1;descendante;nul;0;0
63;9;xp_loc;3;63;1;nul;1;ascendante;congruente;0;0
64;9;xp_loc;3;64;1;local;3;ascendante;congruente;0;0
65;9;xp_loc;3;65;1;global;1;descendante;congruente;0;0
66;9;xp_loc;3;66;1;nul;1;descendante;congruente;0;0
67;9;xp_loc;3;67;1;local;1;ascendante;incongruente;0;0
68;9;xp_loc;3;68;1;nul;3;descendante;incongruente;0;0
69;9;xp_loc;3;69;1;localglobal;3;descendante;nul;0;0
70;9;xp_loc;3;70;1;localglobal;1;ascendante;congruente;0;0
71;9;xp_loc;3;71;1;global;3;descendante;nul;0;0
72;9;xp_loc;3;72;1;localglobal;1;descendante;congruente;0;0
73;9;xp_loc;3;73;1;nul;1;ascendante;nul;0;0
74;9;xp_loc;3;74;1;nul;1;ascendante;incongruente;0;0
75;9;xp_loc;3;75;1;local;1;ascendante;congruente;0;0
76;9;xp_loc;3;76;1;local;1;descendante;congruente;0;0
77;9;xp_loc;3;77;1;global;1;ascendante;nul;0;0
78;9;xp_loc;3;78;1;global;1;ascendante;congruente;0;0
79;9;xp_loc;3;79;1;local;3;descendante;incongruente;0;0
80;9;xp_loc;3;80;1;global;3;ascendante;nul;0;0
81;9;xp_loc;3;81;1;nul;3;ascendante;nul;0;0
82;9;xp_loc;3;82;1;nul;3;ascendante;incongruente;0;0
83;9;xp_loc;3;83;1;local;1;ascendante;congruente;0;0
84;9;xp_loc;3;84;1;localglobal;1;ascendante;incongruente;0;0
85;9;xp_loc;3;85;1;local;1;descendante;incongruente;0;0
86;9;xp_loc;3;86;1;nul;1;ascendante;nul;0;0
87;9;xp_loc;3;87;1;localglobal;1;ascendante;congruente;0;0
88;9;xp_loc;3;88;1;global;1;ascendante;incongruente;0;0
89;9;xp_loc;3;89;1;global;3;ascendante;nul;0;0
90;9;xp_loc;3;90;1;localglobal;1;descendante;nul;0;0
91;9;xp_loc;3;91;1;localglobal;3;ascendante;nul;0;0
92;9;xp_loc;3;92;1;nul;3;descendante;congruente;0;0
93;9;xp_loc;3;93;1;local;1;ascendante;nul;0;0
94;9;xp_loc;3;94;1;global;3;descendante;congruente;0;0
95;9;xp_loc;3;95;1;global;3;descendante;nul;0;0
96;9;xp_loc;3;96;1;global;3;descendante;congruente;0;0
97;9;xp_loc;3;97;1;nul;1;ascendante;incongruente;0;0
2;12;xp_loc;5;2;1;localglobal;3;ascendante;incongruente;0;0
3;12;xp_loc;5;3;1;local;1;ascendante;nul;0;0
4;12;xp_loc;5;4;1;global;3;descendante;congruente;0;0
5;12;xp_loc;5;5;1;localglobal;1;descendante;incongruente;0;0
6;12;xp_loc;5;6;1;localglobal;1;ascendante;nul;0;0
7;12;xp_loc;5;7;1;global;3;descendante;incongruente;0;0
8;12;xp_loc;5;8;1;global;3;descendante;nul;0;0
9;12;xp_loc;5;9;1;nul;1;descendante;congruente;0;0
10;12;xp_loc;5;10;1;global;1;descendante;incongruente;0;0
11;12;xp_loc;5;11;1;localglobal;3;descendante;incongruente;0;0
12;12;xp_loc;5;12;1;local;3;ascendante;incongruente;0;0
13;12;xp_loc;5;13;1;global;1;descendante;congruente;0;0
14;12;xp_loc;5;14;1;nul;3;descendante;congruente;0;0
15;12;xp_loc;5;15;1;nul;3;descendante;congruente;0;0
16;12;xp_loc;5;16;1;nul;1;ascendante;incongruente;0;0
17;12;xp_loc;5;17;1;nul;1;ascendante;nul;0;0
18;12;xp_loc;5;18;1;global;1;ascendante;congruente;0;0
19;12;xp_loc;5;19;1;nul;1;descendante;incongruente;0;0
20;12;xp_loc;5;20;1;localglobal;3;ascendante;congruente;0;0
21;12;xp_loc;5;21;1;localglobal;1;ascendante;congruente;0;0
22;12;xp_loc;5;22;1;nul;3;ascendante;nul;0;0
23;12;xp_loc;5;23;1;global;1;ascendante;congruente;0;0
24;12;xp_loc;5;24;1;nul;1;descendante;incongruente;0;0
25;12;xp_loc;5;25;1;local;3;descendante;congruente;0;0
26;12;xp_loc;5;26;1;global;1;ascendante;incongruente;0;0
27;12;xp_loc;5;27;1;local;1;ascendante;congruente;0;0
28;12;xp_loc;5;28;1;local;1;descendante;congruente;0;0
29;12;xp_loc;5;29;1;global;3;ascendante;congruente;0;0
30;12;xp_loc;5;30;1;nul;3;descendante;nul;0;0
31;12;xp_loc;5;31;1;nul;1;ascendante;congruente;0;0
32;12;xp_loc;5;32;1;localglobal;1;descendante;congruente;0;0
33;12;xp_loc;5;33;1;nul;3;descendante;incongruente;0;0
34;12;xp_loc;5;34;1;global;3;descendante;nul;0;0
35;12;xp_loc;5;35;1;local;3;descendante;incongruente;0;0
36;12;xp_loc;5;36;1;global;3;descendante;congruente;0;0
37;12;xp_loc;5;37;1;nul;3;descendante;nul;0;0
38;12;xp_loc;5;38;1;nul;1;descendante;congruente;0;0
39;12;xp_loc;5;39;1;local;3;ascendante;congruente;0;0
40;12;xp_loc;5;40;1;nul;1;descendante;nul;0;0
41;12;xp_loc;5;41;1;localglobal;3;descendante;congruente;0;0
42;12;xp_loc;5;42;1;localglobal;1;descendante;incongruente;0;0
43;12;xp_loc;5;43;1;global;1;descendante;congruente;0;0
44;12;xp_loc;5;44;1;local;3;descendante;incongruente;0;0
45;12;xp_loc;5;45;1;global;1;descendante;nul;0;0
46;12;xp_loc;5;46;1;local;3;ascendante;nul;0;0
47;12;xp_loc;5;47;1;localglobal;1;ascendante;nul;0;0
48;12;xp_loc;5;48;1;local;1;ascendante;nul;0;0
49;12;xp_loc;5;49;1;local;1;descendante;congruente;0;0
50;12;xp_loc;5;50;1;global;3;ascendante;congruente;0;0
51;12;xp_loc;5;51;1;nul;1;descendante;nul;0;0
52;12;xp_loc;5;52;1;local;1;descendante;nul;0;0
53;12;xp_loc;5;53;1;local;1;ascendante;congruente;0;0
54;12;xp_loc;5;54;1;localglobal;3;descendante;incongruente;0;0
55;12;xp_loc;5;55;1;nul;1;ascendante;congruente;0;0
56;12;xp_loc;5;56;1;global;3;ascendante;nul;0;0
57;12;xp_loc;5;57;1;local;3;ascendante;incongruente;0;0
58;12;xp_loc;5;58;1;nul;3;ascendante;incongruente;0;0
59;12;xp_loc;5;59;1;localglobal;3;ascendante;congruente;0;0
60;12;xp_loc;5;60;1;global;1;ascendante;nul;0;0
61;12;xp_loc;5;61;1;nul;3;ascendante;congruente;0;0
62;12;xp_loc;5;62;1;local;3;ascendante;nul;0;0
63;12;xp_loc;5;63;1;local;1;descendante;nul;0;0
64;12;xp_loc;5;64;1;nul;3;ascendante;incongruente;0;0
65;12;xp_loc;5;65;1;localglobal;3;descendante;nul;0;0
66;12;xp_loc;5;66;1;localglobal;1;descendante;nul;0;0
67;12;xp_loc;5;67;1;localglobal;3;ascendante;nul;0;0
68;12;xp_loc;5;68;1;localglobal;1;descendante;congruente;0;0
69;12;xp_loc;5;69;1;local;1;descendante;incongruente;0;0
70;12;xp_loc;5;70;1;local;3;descendante;congruente;0;0
71;12;xp_loc;5;71;1;local;1;ascendante;incongruente;0;0
72;12;xp_loc;5;72;1;global;1;descendante;nul;0;0
73;12;xp_loc;5;73;1;nul;3;descendante;incongruente;0;0
74;12;xp_loc;5;74;1;global;1;ascendante;nul;0;0
75;12;xp_loc;5;75;1;localglobal;3;ascendante;incongruente;0;0
76;12;xp_loc;5;76;1;localglobal;1;ascendante;incongruente;0;0
77;12;xp_loc;5;77;1;local;3;descendante;nul;0;0
78;12;xp_loc;5;78;1;localglobal;3;descendante;nul;0;0
79;12;xp_loc;5;79;1;local;3;ascendante;congruente;0;0
80;12;xp_loc;5;80;1;global;3;ascendante;incongruente;0;0
81;12;xp_loc;5;81;1;nul;1;ascendante;nul;0;0
82;12;xp_loc;5;82;1;localglobal;3;descendante;congruente;0;0
83;12;xp_loc;5;83;1;nul;3;ascendante;congruente;0;0
84;12;xp_loc;5;84;1;localglobal;1;descendante;nul;0;0
85;12;xp_loc;5;85;1;global;3;ascendante;nul;0;0
86;12;xp_loc;5;86;1;nul;3;ascendante;nul;0;0
87;12;xp_loc;5;87;1;global;1;descendante;incongruente;0;0
88;12;xp_loc;5;88;1;localglobal;3;ascendante;nul;0;0
89;12;xp_loc;5;89;1;global;1;ascendante;incongruente;0;0
90;12;xp_loc;5;90;1;nul;1;ascendante;incongruente;0;0
91;12;xp_loc;5;91;1;global;3;ascendante;incongruente;0;0
92;12;xp_loc;5;92;1;local;1;descendante;incongruente;0;0
93;12;xp_loc;5;93;1;localglobal;1;ascendante;incongruente;0;0
94;12;xp_loc;5;94;1;local;1;ascendante;incongruente;0;0
95;12;xp_loc;5;95;1;local;3;descendante;nul;0;0
96;12;xp_loc;5;96;1;localglobal;1;ascendante;congruente;0;0
97;12;xp_loc;5;97;1;global;3;descendante;incongruente;0;0
2;12;xp_loc;2;2;1;localglobal;3;descendante;congruente;0;0
3;12;xp_loc;2;3;1;global;1;ascendante;nul;0;0
4;12;xp_loc;2;4;1;nul;1;descendante;incongruente;0;0
5;12;xp_loc;2;5;1;local;3;descendante;incongruente;0;0
6;12;xp_loc;2;6;1;global;1;descendante;congruente;0;0
7;12;xp_loc;2;7;1;global;1;ascendante;congruente;0;0
8;12;xp_loc;2;8;1;nul;1;descendante;congruente;0;0
9;12;xp_loc;2;9;1;localglobal;1;ascendante;nul;0;0
10;12;xp_loc;2;10;1;nul;3;descendante;nul;0;0
11;12;xp_loc;2;11;1;localglobal;1;descendante;congruente;0;0
12;12;xp_loc;2;12;1;local;1;descendante;incongruente;0;0
13;12;xp_loc;2;13;1;global;3;ascendante;congruente;0;0
14;12;xp_loc;2;14;1;global;3;ascendante;congruente;0;0
15;12;xp_loc;2;15;1;global;3;descendante;congruente;0;0
16;12;xp_loc;2;16;1;global;3;ascendante;nul;0;0
17;12;xp_loc;2;17;1;global;1;descendante;nul;0;0
18;12;xp_loc;2;18;1;local;1;ascendante;nul;0;0
